sample,label,cell_type,n_cells,gene_strategy,cell_nodes,gene_nodes,edges,density,min_w,max_w,bytes
10X_HEN074,NR,Epithelial cells,1758,expressed,1758,15995,3476537,0.1236,0.110,8.320,139203508
10X_HEN074,NR,Epithelial cells,1758,hvg,1758,364,39281,0.0614,0.110,8.320,1588220
10X_HEN074,NR,Erythroid,25,expressed,25,4360,9656,0.0886,1.963,8.901,421324
10X_HEN074,NR,Erythroid,25,hvg,25,94,321,0.1366,1.963,8.901,13796
10X_HEN074,NR,Fibroblasts,1860,expressed,1860,15854,5265350,0.1786,0.201,8.843,210755716
10X_HEN074,NR,Fibroblasts,1860,hvg,1860,378,38116,0.0542,0.201,8.843,1542548
10X_HEN074,NR,Granulocytes,1,expressed,1,563,563,1.0000,2.284,5.360,27036
10X_HEN074,NR,Granulocytes,1,hvg,1,15,15,1.0000,2.284,5.273,732
10X_HEN074,NR,HSC/MPP,8,expressed,8,5431,9555,0.2199,0.508,5.968,425716
10X_HEN074,NR,HSC/MPP,8,hvg,8,51,104,0.2549,0.508,5.968,4636
10X_HEN074,NR,ILC,428,expressed,428,13595,496355,0.0853,0.304,7.901,19966388
10X_HEN074,NR,ILC,428,hvg,428,278,4825,0.0406,0.304,7.901,198652
10X_HEN074,NR,MNP,1,expressed,1,266,266,1.0000,3.204,6.056,12780
10X_HEN074,NR,MNP,1,hvg,1,7,7,1.0000,3.204,6.056,348
10X_HEN074,NR,Macrophages,2475,expressed,2475,14979,2979305,0.0804,0.198,8.563,119311836
10X_HEN074,NR,Macrophages,2475,hvg,2475,375,42117,0.0454,0.198,8.563,1707484
10X_HEN074,NR,Mast cells,98,expressed,98,10350,101976,0.1005,0.423,7.366,4162628
10X_HEN074,NR,Mast cells,98,hvg,98,114,1491,0.1335,0.423,7.366,61340
10X_HEN074,NR,Megakaryocytes/platelets,2,expressed,2,579,680,0.5872,2.494,6.194,31852
10X_HEN074,NR,Megakaryocytes/platelets,2,hvg,2,13,22,0.8462,2.494,6.194,1004
10X_HEN074,NR,Mono-mac,31,expressed,31,5898,17842,0.0976,1.179,7.004,761116
10X_HEN074,NR,Mono-mac,31,hvg,31,97,533,0.1773,1.179,7.004,22348
10X_HEN074,NR,Monocyte precursor,3,expressed,3,1037,1352,0.4346,2.648,6.073,62404
10X_HEN074,NR,Monocyte precursor,3,hvg,3,19,43,0.7544,2.648,5.989,1900
10X_HEN074,NR,Monocytes,649,expressed,649,12521,713965,0.0879,0.532,8.650,28663964
10X_HEN074,NR,Monocytes,649,hvg,649,254,12314,0.0747,0.532,8.650,499788
10X_HEN074,NR,Myelocytes,88,expressed,88,5890,24427,0.0471,2.264,7.676,1024908
10X_HEN074,NR,Myelocytes,88,hvg,88,135,923,0.0777,2.264,7.676,38708
10X_HEN074,NR,Plasma cells,689,expressed,689,12939,781217,0.0876,0.142,9.021,31357708
10X_HEN074,NR,Plasma cells,689,hvg,689,357,16023,0.0651,0.142,9.021,649292
10X_HEN074,NR,T cells,10996,expressed,10996,15845,13501911,0.0775,0.220,8.868,540291172
10X_HEN074,NR,T cells,10996,hvg,10996,441,103699,0.0214,0.220,8.868,4239460
10X_HEN074,NR,pDC,261,expressed,261,11927,519613,0.1669,0.578,6.735,20882028
10X_HEN074,NR,pDC,261,hvg,261,182,3541,0.0745,0.578,6.735,145188
10X_HEN074,NR,pDC precursor,1,expressed,1,441,441,1.0000,2.829,6.235,21180
10X_HEN074,NR,pDC precursor,1,hvg,1,6,6,1.0000,2.829,6.235,300
10X_HEN004,R,B cells,794,expressed,794,13348,947607,0.0894,0.136,8.754,38017420
10X_HEN004,R,B cells,794,hvg,794,292,9097,0.0392,0.136,8.754,372572
10X_HEN004,R,Cycling cells,2,expressed,2,1776,1956,0.5507,1.070,5.672,92468
10X_HEN004,R,Cycling cells,2,hvg,2,15,21,0.7000,1.070,5.672,980
10X_HEN004,R,DC,67,expressed,67,11044,108477,0.1466,0.302,6.929,4427972
10X_HEN004,R,DC,67,hvg,67,117,870,0.1110,0.302,6.576,36276
10X_HEN004,R,Double-negative thymocytes,1,expressed,1,557,557,1.0000,2.237,6.798,26748
10X_HEN004,R,Double-negative thymocytes,1,hvg,1,11,11,1.0000,2.237,6.520,540
10X_HEN004,R,Double-positive thymocytes,28,expressed,28,8421,35966,0.1525,0.572,6.264,1506236
10X_HEN004,R,Double-positive thymocytes,28,hvg,28,81,396,0.1746,0.572,6.264,16716
10X_HEN004,R,Endothelial cells,241,expressed,241,12294,281587,0.0950,0.373,8.673,11363764
10X_HEN004,R,Endothelial cells,241,hvg,241,143,3259,0.0946,0.373,8.673,133436
10X_HEN004,R,Epithelial cells,115,expressed,115,12974,189961,0.1273,0.143,9.024,7703156
10X_HEN004,R,Epithelial cells,115,hvg,115,222,2591,0.1015,0.143,9.024,106340
10X_HEN004,R,Fibroblasts,864,expressed,864,13771,1275546,0.1072,0.389,8.793,51138924
10X_HEN004,R,Fibroblasts,864,hvg,864,231,15738,0.0789,0.389,8.793,638284
10X_HEN004,R,ILC,65,expressed,65,10168,64872,0.0982,0.676,7.050,2676748
10X_HEN004,R,ILC,65,hvg,65,103,729,0.1089,0.676,7.050,30508
10X_HEN004,R,Macrophages,120,expressed,120,11038,107982,0.0815,0.316,7.939,4408548
10X_HEN004,R,Macrophages,120,hvg,120,197,1694,0.0717,0.316,7.939,70300
10X_HEN004,R,Mast cells,3,expressed,3,1817,2372,0.4351,1.475,6.865,109444
10X_HEN004,R,Mast cells,3,hvg,3,21,41,0.6508,1.475,6.540,1836
10X_HEN004,R,Megakaryocytes/platelets,1,expressed,1,258,258,1.0000,3.244,5.772,12396
10X_HEN004,R,Megakaryocytes/platelets,1,hvg,1,10,10,1.0000,3.244,5.772,492
10X_HEN004,R,Mono-mac,2,expressed,2,1052,1154,0.5485,1.961,6.074,54596
10X_HEN004,R,Mono-mac,2,hvg,2,18,23,0.6389,1.961,6.074,1084
10X_HEN004,R,Monocytes,59,expressed,59,8358,48884,0.0991,0.639,6.935,2022700
10X_HEN004,R,Monocytes,59,hvg,59,113,945,0.1417,0.639,6.935,39180
10X_HEN004,R,Myelocytes,12,expressed,12,5011,9980,0.1660,0.619,7.563,439388
10X_HEN004,R,Myelocytes,12,hvg,12,62,153,0.2056,0.619,7.563,6716
10X_HEN004,R,Plasma cells,76,expressed,76,9526,86874,0.1200,0.219,8.950,3551780
10X_HEN004,R,Plasma cells,76,hvg,76,181,1731,0.1258,0.219,8.950,71300
10X_HEN004,R,T cells,1432,expressed,1432,13395,1540272,0.0803,0.217,8.480,61729500
10X_HEN004,R,T cells,1432,hvg,1432,299,12416,0.0290,0.217,8.480,510492
10X_HEN004,R,pDC,11,expressed,11,6517,19559,0.2728,0.698,6.164,834588
10X_HEN004,R,pDC,11,hvg,11,27,133,0.4478,0.699,6.164,5628
10X_HEN079,R,B cells,3565,expressed,3565,14263,1486055,0.0292,0.245,8.692,59584828
10X_HEN079,R,B cells,3565,hvg,3565,348,26845,0.0216,0.245,8.692,1105108
10X_HEN079,R,B-cell lineage,1,expressed,1,401,401,1.0000,2.755,6.247,19260
10X_HEN079,R,B-cell lineage,1,hvg,1,16,16,1.0000,2.755,6.247,780
10X_HEN079,R,Cycling cells,29,expressed,29,8771,37938,0.1492,0.366,6.943,1587924
10X_HEN079,R,Cycling cells,29,hvg,29,77,286,0.1281,0.366,6.943,12292
10X_HEN079,R,DC,503,expressed,503,13259,635263,0.0953,0.325,7.677,25520620
10X_HEN079,R,DC,503,hvg,503,219,6258,0.0568,0.325,7.677,256100
10X_HEN079,R,DC precursor,2,expressed,2,572,633,0.5533,3.046,5.774,29916
10X_HEN079,R,DC precursor,2,hvg,2,12,16,0.6667,3.046,5.487,756
10X_HEN079,R,Double-negative thymocytes,18,expressed,18,3307,6320,0.1062,2.393,6.724,279404
10X_HEN079,R,Double-negative thymocytes,18,hvg,18,56,174,0.1726,2.393,6.724,7556
10X_HEN079,R,Double-positive thymocytes,111,expressed,111,9787,57815,0.0532,0.987,7.473,2391788
10X_HEN079,R,Double-positive thymocytes,111,hvg,111,123,1037,0.0760,0.987,6.417,43356
10X_HEN079,R,Endothelial cells,676,expressed,676,13832,1205852,0.1290,0.279,7.134,48350148
10X_HEN079,R,Endothelial cells,676,hvg,676,245,8747,0.0528,0.279,7.134,357252
10X_HEN079,R,Epithelial cells,2309,expressed,2309,15763,4020657,0.1105,0.166,7.352,160970860
10X_HEN079,R,Epithelial cells,2309,hvg,2309,339,44667,0.0571,0.166,7.352,1807868
10X_HEN079,R,Erythroid,54,expressed,54,5660,19652,0.0643,1.617,8.670,831796
10X_HEN079,R,Erythroid,54,hvg,54,76,455,0.1109,1.617,8.670,19244
10X_HEN079,R,Fibroblasts,1450,expressed,1450,14910,2483860,0.1149,0.222,7.416,99485284
10X_HEN079,R,Fibroblasts,1450,hvg,1450,312,23360,0.0516,0.222,7.416,948500
10X_HEN079,R,HSC/MPP,3,expressed,3,1260,1616,0.4275,2.087,5.373,74748
10X_HEN079,R,HSC/MPP,3,hvg,3,15,27,0.6000,2.625,4.756,1228
10X_HEN079,R,ILC,652,expressed,652,13610,514826,0.0580,0.421,7.939,20707140
10X_HEN079,R,ILC,652,hvg,652,261,5775,0.0339,0.421,7.939,238308
10X_HEN079,R,Macrophages,1499,expressed,1499,14161,1518202,0.0715,0.178,8.348,60853364
10X_HEN079,R,Macrophages,1499,hvg,1499,316,25657,0.0542,0.178,8.348,1040804
10X_HEN079,R,Mast cells,54,expressed,54,8549,44397,0.0962,0.673,6.432,1844708
10X_HEN079,R,Mast cells,54,hvg,54,58,691,0.2206,0.673,6.176,28540
10X_HEN079,R,Megakaryocytes/platelets,1,expressed,1,230,230,1.0000,3.325,6.124,11052
10X_HEN079,R,Megakaryocytes/platelets,1,hvg,1,10,10,1.0000,3.325,6.124,492
10X_HEN079,R,Mono-mac,11,expressed,11,5170,9941,0.1748,0.702,6.971,439092
10X_HEN079,R,Mono-mac,11,hvg,11,74,201,0.2469,0.702,6.971,8724
10X_HEN079,R,Monocyte precursor,2,expressed,2,679,766,0.5641,2.723,5.384,36092
10X_HEN079,R,Monocyte precursor,2,hvg,2,16,22,0.6875,2.723,5.368,1028
10X_HEN079,R,Monocytes,225,expressed,225,11240,195853,0.0774,0.655,7.564,7925844
10X_HEN079,R,Monocytes,225,hvg,225,189,3558,0.0837,0.655,7.564,145636
10X_HEN079,R,Myelocytes,54,expressed,54,4815,15071,0.0580,1.986,7.745,641796
10X_HEN079,R,Myelocytes,54,hvg,54,82,546,0.1233,1.986,7.745,22932
10X_HEN079,R,Plasma cells,419,expressed,419,11710,297680,0.0607,0.221,8.994,12004236
10X_HEN079,R,Plasma cells,419,hvg,419,282,7775,0.0658,0.221,8.994,316612
10X_HEN079,R,T cells,7884,expressed,7884,15234,4793528,0.0399,0.354,8.523,191926068
10X_HEN079,R,T cells,7884,hvg,7884,390,54371,0.0177,0.354,8.523,2241036
10X_HEN079,R,pDC,133,expressed,133,10240,155116,0.1139,0.584,7.132,6287628
10X_HEN079,R,pDC,133,hvg,133,76,1269,0.1255,0.584,7.132,52436
10X_HEN027,R,B cells,1033,expressed,1033,12929,723201,0.0541,0.407,7.355,29039740
10X_HEN027,R,B cells,1033,hvg,1033,291,10698,0.0356,0.407,7.355,438516
10X_HEN027,R,Cycling cells,14,expressed,14,5762,12844,0.1592,0.837,6.483,559972
10X_HEN027,R,Cycling cells,14,hvg,14,44,136,0.2208,0.837,5.800,5908
10X_HEN027,R,DC,172,expressed,172,11414,166368,0.0847,0.519,7.293,6747412
10X_HEN027,R,DC,172,hvg,172,152,2080,0.0796,0.519,7.293,85796
10X_HEN027,R,DC precursor,1,expressed,1,755,755,1.0000,2.191,5.256,36252
10X_HEN027,R,DC precursor,1,hvg,1,6,6,1.0000,2.191,5.074,300
10X_HEN027,R,Double-negative thymocytes,10,expressed,10,3216,5082,0.1580,1.110,6.241,229092
10X_HEN027,R,Double-negative thymocytes,10,hvg,10,38,91,0.2395,1.110,5.473,4028
10X_HEN027,R,Double-positive thymocytes,66,expressed,66,7709,29596,0.0582,1.183,6.882,1246044
10X_HEN027,R,Double-positive thymocytes,66,hvg,66,105,655,0.0945,1.183,5.489,27572
10X_HEN027,R,Endothelial cells,111,expressed,111,11202,110181,0.0886,0.485,6.984,4497748
10X_HEN027,R,Endothelial cells,111,hvg,111,109,1225,0.1012,0.485,6.984,50764
10X_HEN027,R,Epithelial cells,589,expressed,589,13202,582188,0.0749,0.215,7.426,23397852
10X_HEN027,R,Epithelial cells,589,hvg,589,203,8902,0.0745,0.215,7.426,362420
10X_HEN027,R,Erythroid,14,expressed,14,3014,5416,0.1284,2.121,6.382,240868
10X_HEN027,R,Erythroid,14,hvg,14,35,115,0.2347,2.206,5.982,4996
10X_HEN027,R,Fibroblasts,190,expressed,190,12583,317465,0.1328,0.363,6.973,12800788
10X_HEN027,R,Fibroblasts,190,hvg,190,152,2753,0.0953,0.363,6.904,112860
10X_HEN027,R,ILC,286,expressed,286,11570,144379,0.0436,0.599,6.800,5870012
10X_HEN027,R,ILC,286,hvg,286,171,2603,0.0532,0.599,6.800,107780
10X_HEN027,R,MNP,1,expressed,1,224,224,1.0000,3.112,7.301,10764
10X_HEN027,R,MNP,1,hvg,1,13,13,1.0000,3.112,7.301,636
10X_HEN027,R,Macrophages,1317,expressed,1317,13244,843363,0.0484,0.253,8.221,33851012
10X_HEN027,R,Macrophages,1317,hvg,1317,248,18850,0.0577,0.253,8.221,766524
10X_HEN027,R,Mast cells,6,expressed,6,1614,2351,0.2428,2.500,6.245,107004
10X_HEN027,R,Mast cells,6,hvg,6,19,67,0.5877,2.500,5.849,2884
10X_HEN027,R,Mono-mac,3,expressed,3,1329,1616,0.4053,2.304,6.075,75300
10X_HEN027,R,Mono-mac,3,hvg,3,29,46,0.5287,2.304,6.075,2100
10X_HEN027,R,Monocytes,73,expressed,73,8596,60085,0.0958,0.805,7.566,2472756
10X_HEN027,R,Monocytes,73,hvg,73,101,1017,0.1379,0.805,7.566,42076
10X_HEN027,R,Myelocytes,29,expressed,29,3648,8509,0.0804,2.444,7.767,369780
10X_HEN027,R,Myelocytes,29,hvg,29,72,283,0.1355,2.444,7.767,12132
10X_HEN027,R,Plasma cells,135,expressed,135,10638,150430,0.1047,0.206,8.958,6103388
10X_HEN027,R,Plasma cells,135,hvg,135,206,2684,0.0965,0.206,8.958,110092
10X_HEN027,R,T cells,2030,expressed,2030,13535,1467680,0.0534,0.358,8.032,58831724
10X_HEN027,R,T cells,2030,hvg,2030,294,16747,0.0281,0.358,8.032,688476
10X_HEN027,R,pDC,24,expressed,24,6534,24662,0.1573,0.929,6.564,1038948
10X_HEN027,R,pDC,24,hvg,24,51,256,0.2092,0.929,6.177,10844
10X_HEN027,R,pDC precursor,2,expressed,2,1024,1113,0.5435,2.062,5.667,52732
10X_HEN027,R,pDC precursor,2,hvg,2,23,27,0.5870,2.062,5.024,1284
